Pais,Code,Pib pc
Aruba,ABW,24485.0833
Afghanistan,AFG,571.542506
Angola,AGO,3409.92928
Albania,ALB,4865.20955
Andorra,AND,43858.0775
Arab World,ARB,6444.24926
United Arab Emirates,ARE,40697.8181
Argentina,ARG,10404.2635
Armenia,ARM,4198.79475
American Samoa,ASM,9048.18252
Antigua and Barbuda,ATG,14220.5021
Australia,AUS,56095.1863
Austria,AUT,49112.7329
Azerbaijan,AZE,5739.59455
Burundi,BDI,214.139246
Belgium,BEL,46680.2075
Benin,BEN,862.897042
Burkina Faso,BFA,685.883937
Bangladesh,BGD,1127.27177
Bulgaria,BGR,8331.15227
Bahrain,BHR,22126.6882
"Bahamas, The",BHS,27113.6754
Bosnia and Herzegovina,BIH,5773.3731
Belarus,BLR,6536.0121
Belize,BLZ,4203.95912
Bermuda,BMU,
Bolivia,BOL,2490.95631
Brazil,BRA,10990.1848
Barbados,BRB,16121.2263
Brunei Darussalam,BRN,31752.7408
Bhutan,BTN,3072.0203
Botswana,BWA,7859.43648
Central African Republic,CAF,370.747107
Canada,CAN,51150.7546
Central Europe and the Baltics,CEB,15569.7753
Switzerland,CHE,77684.0663
Channel Islands,CHI,
Chile,CHL,14748.5106
China,CHN,7308.06537
Cote d'Ivoire,CIV,1616.16936
Cameroon,CMR,1480.28788
"Congo, Dem. Rep.",COD,408.924793
"Congo, Rep.",COG,2693.4285
Colombia,COL,7613.72658
Comoros,COM,1385.56964
Cabo Verde,CPV,3619.62102
Costa Rica,CRI,9732.26938
Caribbean small states,CSS,8901.06768
Cuba,CUB,6666.33173
Curacao,CUW,
Cayman Islands,CYM,76285.3841
Cyprus,CYP,30100.1556
Czech Republic,CZE,22754.7526
Germany,DEU,46916.8242
Djibouti,DJI,
Dominica,DMA,6561.40371
Denmark,DNK,62733.0198
Dominican Republic,DOM,7273.35537
Algeria,DZA,4793.8667
East Asia & Pacific (excluding high income),EAP,6125.61274
Early-demographic dividend,EAR,3569.7799
East Asia & Pacific,EAS,9908.68526
Europe & Central Asia (excluding high income),ECA,9334.50237
Europe & Central Asia,ECS,25828.3912
Ecuador,ECU,5205.76302
"Egypt, Arab Rep.",EGY,2817.32023
Euro area,EMU,40262.1822
Eritrea,ERI,
Spain,ESP,32282.9038
Estonia,EST,19097.8643
Ethiopia,ETH,548.117496
European Union,EUU,36806.0592
Fragile and conflict affected situations,FCS,1600.86219
Finland,FIN,48033.2871
Fiji,FJI,4663.66428
France,FRA,43001.5913
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,2751.71265
Gabon,GAB,9203.99356
United Kingdom,GBR,43010.7063
Georgia,GEO,4508.68049
Ghana,GHA,1738.25193
Gibraltar,GIB,
Guinea,GIN,869.033786
"Gambia, The",GMB,760.124706
Guinea-Bissau,GNB,614.43943
Equatorial Guinea,GNQ,11331.1528
Greece,GRC,23052.9862
Grenada,GRD,8777.26894
Greenland,GRL,47648.4982
Guatemala,GTM,3123.90469
Guam,GUM,31847.6497
Guyana,GUY,3853.70592
High income,HIC,42813.3407
"Hong Kong SAR, China",HKG,37953.372
Honduras,HND,2175.15584
Heavily indebted poor countries (HIPC),HPC,894.059844
Croatia,HRV,15350.4262
Haiti,HTI,728.845002
Hungary,HUN,15809.7732
IBRD only,IBD,5803.4988
IDA & IBRD total,IBT,4652.77156
IDA total,IDA,1261.97432
IDA blend,IDB,1760.32803
Indonesia,IDN,4120.42856
IDA only,IDX,1001.70092
Isle of Man,IMN,90190.752
India,IND,1987.34115
Not classified,INX,
Ireland,IRL,71755.967
"Iran, Islamic Rep.",IRN,6952.44358
Iraq,IRQ,5637.90527
Iceland,ISL,51281.9877
Israel,ISR,34243.0126
Italy,ITA,35098.3705
Jamaica,JAM,4785.65355
Jordan,JOR,3262.5176
Japan,JPN,48438.8346
Kazakhstan,KAZ,10867.7387
Kenya,KEN,1157.05249
Kyrgyz Republic,KGZ,1070.36894
Cambodia,KHM,1137.8214
Kiribati,KIR,1753.2956
St. Kitts and Nevis,KNA,16586.5978
"Korea, Rep.",KOR,26152.0308
Kuwait,KWT,33359.4442
Latin America & Caribbean (excluding high income),LAC,8900.795
Lao PDR,LAO,1706.79323
Lebanon,LBN,6271.21932
Liberia,LBR,548.010538
Libya,LBY,7085.53066
St. Lucia,LCA,8456.58409
Latin America & Caribbean,LCN,9265.38824
Least developed countries: UN classification,LDC,940.19776
Low income,LIC,723.271807
Liechtenstein,LIE,
Sri Lanka,LKA,3854.2489
Lower middle income,LMC,2173.92101
Low & middle income,LMY,4523.19414
Lesotho,LSO,1407.00421
Late-demographic dividend,LTE,8283.77927
Lithuania,LTU,16850.9869
Luxembourg,LUX,109452.96
Latvia,LVA,15424.6553
"Macao SAR, China",MAC,56423.2851
St. Martin (French part),MAF,
Morocco,MAR,3302.90638
Monaco,MCO,186012.483
Moldova,MDA,2578.49771
Madagascar,MDG,481.383084
Maldives,MDV,7807.704
Middle East & North Africa,MEA,7792.92894
Mexico,MEX,10301.3579
Marshall Islands,MHL,2977.79657
Middle income,MIC,4987.32094
North Macedonia,MKD,5256.71105
Mali,MLI,764.169157
Malta,MLT,27669.3692
Myanmar,MMR,1489.17175
Middle East & North Africa (excluding high income),MNA,4347.64721
Montenegro,MNE,7845.37922
Mongolia,MNG,3997.48587
Northern Mariana Islands,MNP,23239.6993
Mozambique,MOZ,588.741022
Mauritania,MRT,1324.99099
Mauritius,MUS,10199.4794
Malawi,MWI,512.645612
Malaysia,MYS,11728.9803
North America,NAC,53139.6016
Namibia,NAM,6193.2164
New Caledonia,NCL,
Niger,NER,393.6621
Nigeria,NGA,2412.36713
Nicaragua,NIC,1958.68552
Netherlands,NLD,53942.0851
Norway,NOR,91549.0379
Nepal,NPL,779.203969
Nauru,NRU,10183.8781
New Zealand,NZL,37678.3568
OECD members,OED,39313.8482
Oman,OMN,16067.037
Other small states,OSS,13727.5225
Pakistan,PAK,1155.36336
Panama,PAN,11501.1573
Peru,PER,6314.29144
Philippines,PHL,2884.38059
Palau,PLW,12121.6447
Papua New Guinea,PNG,2485.53674
Poland,POL,15845.2486
Pre-demographic dividend,PRE,1504.69557
Puerto Rico,PRI,27628.2869
"Korea, Dem. Peopleâ€™s Rep.",PRK,
Portugal,PRT,23380.6928
Paraguay,PRY,5272.57579
West Bank and Gaza,PSE,2724.41453
Pacific island small states,PSS,3334.30783
Post-demographic dividend,PST,43243.9896
French Polynesia,PYF,
Qatar,QAT,63632.5987
Romania,ROU,11029.1372
Russian Federation,RUS,11469.6755
Rwanda,RWA,779.519046
South Asia,SAS,1791.37949
Saudi Arabia,SAU,20693.9412
Sudan,SDN,1945.7096
Senegal,SEN,1489.37203
Singapore,SGP,56740.7531
Solomon Islands,SLB,1465.32995
Sierra Leone,SLE,466.945069
El Salvador,SLV,3441.99507
San Marino,SMR,53337.5879
Somalia,SOM,
Serbia,SRB,6560.3234
Sub-Saharan Africa (excluding high income),SSA,1663.5772
South Sudan,SSD,
Sub-Saharan Africa,SSF,1664.70476
Small states,SST,12209.923
Sao Tome and Principe,STP,1287.80935
Suriname,SUR,7967.01688
Slovak Republic,SVK,19828.7732
Slovenia,SVN,25721.8574
Sweden,SWE,57367.4279
Eswatini,SWZ,4711.69263
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,14014.8681
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,816.737363
East Asia & Pacific (IDA & IBRD countries),TEA,6190.09699
Europe & Central Asia (IDA & IBRD countries),TEC,9928.76013
Togo,TGO,660.485083
Thailand,THA,6128.65816
Tajikistan,TJK,1024.85895
Turkmenistan,TKM,7318.0655
Latin America & the Caribbean (IDA & IBRD countries),TLA,9179.69144
Timor-Leste,TLS,2737.34629
Middle East & North Africa (IDA & IBRD countries),TMN,4366.9365
Tonga,TON,4090.33631
South Asia (IDA & IBRD),TSA,1791.37949
Sub-Saharan Africa (IDA & IBRD countries),TSS,1664.70476
Trinidad and Tobago,TTO,15261.8723
Tunisia,TUN,4343.92364
Turkey,TUR,14874.7825
Tuvalu,TUV,3590.4259
Tanzania,TZA,937.301492
Uganda,UGA,694.289534
Ukraine,UKR,2994.52418
Upper middle income,UMC,8167.38863
Uruguay,URY,14437.3847
United States,USA,53356.2362
Uzbekistan,UZB,2290.37923
St. Vincent and the Grenadines,VCT,6730.90555
"Venezuela, RB",VEN,9406.50245
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,29290.785
Vietnam,VNM,1852.96304
Vanuatu,VUT,2856.24124
World,WLD,10661.2306
Samoa,WSM,3847.18483
Kosovo,XKX,4040.43629
"Yemen, Rep.",YEM,702.863756
South Africa,ZAF,7476.38632
Zambia,ZMB,1658.82321
Zimbabwe,ZWE,1263.32132